"seed","mse","mae","model_id","checkpoint_path","checkpoint_exists"
"52","0.6998412013053894","0.5561293959617615","tauonly_robust_baseline_v1_fixcheck_r0p1_s52","C:\tmp\ppn_latest_ckpt\long_term_forecast_tauonly_robust_baseline_v1_fixcheck_r0p1_s52_TauOnly_ETTh1_ftM_sl96_ll48_pl96_dm128_nh8_el1_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_tauonly_robust_baseline_v1_fixcheck_0\checkpoint.pth","1"
"42","0.7010145783424377","0.5584203004837036","tauonly_robust_baseline_v1_fixcheck_r0p1_s42","C:\tmp\ppn_latest_ckpt\long_term_forecast_tauonly_robust_baseline_v1_fixcheck_r0p1_s42_TauOnly_ETTh1_ftM_sl96_ll48_pl96_dm128_nh8_el1_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_tauonly_robust_baseline_v1_fixcheck_0\checkpoint.pth","1"
"62","0.7023001909255981","0.5584374666213989","tauonly_robust_baseline_v1_fixcheck_r0p1_s62","C:\tmp\ppn_latest_ckpt\long_term_forecast_tauonly_robust_baseline_v1_fixcheck_r0p1_s62_TauOnly_ETTh1_ftM_sl96_ll48_pl96_dm128_nh8_el1_dl1_df128_expand2_dc4_fc3_ebtimeF_dtTrue_tauonly_robust_baseline_v1_fixcheck_0\checkpoint.pth","1"
