"model","ratio","n","mse_mean","mse_std","mae_mean","mae_std"
"PatchTST","0.1","3","0.407188286383947","0.00109809956491531","0.411694765090942","0.000859990556803798"
"TauFusion_PatchTST","0.1","3","0.440072317918142","0.00659005967453621","0.451968103647232","0.00438653679705852"
